Date Created [UTC]	: 2024-05-31 07:24:40
Author				: DHI
Source				: https://www.metocean-on-demand.com/
Point Name			: Generic Site A
Longitude [deg.E]	: 4.918762
Latitude [deg.N]	: 54.983196
Projection			: EPSG:4326
Dataset ID			: DWF23-AT-WRF-10min-010m
Water Depth [mMSL]	: 100.000000
Cell Size [m]		: 1665.200000
Start Date [UTC]	: 1979-01-01 00:00:00
End Date [UTC]		: 2023-10-01 11:50:00
Time Step [s]		: 600.0
Fill Value			: -9999
DHGUI
datetime (ISO 8601) [UTC],Wind Speed at 10m (WS_{10}) [m/s],Wind Direction at 10m (WD_{10}) [\Deg.N-from],Air Temperature at 10m (T_{air}) [\Deg.C],Relative Humidity at 10m (Relative Humidity) [%]

1979-01-01 00:00:00,13.92,54.71,-4.13,74.13
1979-01-01 00:10:00,13.84,54.88,-4.12,73.49
1979-01-01 00:20:00,13.73,54.92,-4.11,73.44
1979-01-01 00:30:00,13.62,54.85,-4.09,73.21
1979-01-01 00:40:00,13.51,54.66,-4.08,73.16
1979-01-01 00:50:00,13.38,54.34,-4.05,73.63
1979-01-01 01:00:00,13.2,54.19,-4.03,73.93
1979-01-01 01:10:00,12.99,53.28,-4.02,74.27
1979-01-01 01:20:00,12.91,51.83,-4.01,74.27
1979-01-01 01:30:00,12.9,50.85,-4.06,74.02
1979-01-01 01:40:00,12.82,50.53,-4.06,75.09
1979-01-01 01:50:00,12.73,50.56,-4.09,75.56
1979-01-01 02:00:00,12.63,50.71,-4.12,75.82
1979-01-01 02:10:00,12.69,50.55,-4.16,75.92
1979-01-01 02:20:00,12.83,50.7,-4.19,75.85
1979-01-01 02:30:00,12.86,51.89,-4.21,76.02
1979-01-01 02:40:00,12.89,52.85,-4.23,76.1
1979-01-01 02:50:00,12.85,53.76,-4.23,76.46
1979-01-01 03:00:00,12.88,53.56,-4.23,76.64
1979-01-01 03:10:00,13.02,53.2,-4.24,76.56
1979-01-01 03:20:00,13.06,53.45,-4.25,76.2
1979-01-01 03:30:00,12.97,54.02,-4.24,75.49
1979-01-01 03:40:00,12.73,54.43,-4.21,74.57
1979-01-01 03:50:00,12.38,53.36,-4.16,73.99
1979-01-01 04:00:00,12.16,50.7,-4.12,73.7
1979-01-01 04:10:00,12.11,48.69,-4.11,73.09
1979-01-01 04:20:00,11.96,48.11,-4.1,73.47
1979-01-01 04:30:00,11.83,47.38,-4.09,73.1
1979-01-01 04:40:00,11.69,47.31,-4.07,72.51
1979-01-01 04:50:00,11.69,47.9,-4.06,72.06
1979-01-01 05:00:00,11.7,48.13,-4.06,72.08
1979-01-01 05:10:00,11.67,48.34,-4.1,72.34
1979-01-01 05:20:00,11.53,49.01,-4.12,72.45
1979-01-01 05:30:00,11.29,49.76,-4.11,72.1
1979-01-01 05:40:00,11.15,50.23,-4.08,71.4
1979-01-01 05:50:00,11.12,50.14,-4.05,70.98
1979-01-01 06:00:00,11.16,49.88,-4.03,71.43
1979-01-01 06:10:00,11.31,49.86,-4.05,72.38
1979-01-01 06:20:00,11.42,49.71,-4.06,72.29
1979-01-01 06:30:00,11.35,49.67,-4.06,71.86
1979-01-01 06:40:00,11.33,50.03,-4.04,71.97
1979-01-01 06:50:00,11.38,50.78,-4.05,72.17
1979-01-01 07:00:00,11.35,51.32,-4.07,72.53
1979-01-01 07:10:00,11.2,51.75,-4.07,72.45
1979-01-01 07:20:00,11.04,51.88,-4.04,71.96
1979-01-01 07:30:00,10.84,51.82,-4.01,71.94
1979-01-01 07:40:00,10.76,51.48,-3.97,71.7
1979-01-01 07:50:00,10.72,51.23,-3.96,71.25
1979-01-01 08:00:00,10.7,51.68,-3.94,71.42
1979-01-01 08:10:00,10.62,51.83,-3.95,72.13
1979-01-01 08:20:00,10.48,51.35,-3.97,73.06
1979-01-01 08:30:00,10.43,49.77,-3.96,72.84
1979-01-01 08:40:00,10.38,48.51,-3.95,72.17
1979-01-01 08:50:00,10.24,48.65,-3.92,71.76
1979-01-01 09:00:00,10.12,49.42,-3.89,71.49
1979-01-01 09:10:00,10.01,50.46,-3.85,71.66
1979-01-01 09:20:00,9.98,51.73,-3.82,72.66
1979-01-01 09:30:00,10.05,52.98,-3.84,72.5
1979-01-01 09:40:00,9.94,53.6,-3.84,72.96
1979-01-01 09:50:00,9.83,53.25,-3.81,73.87
1979-01-01 10:00:00,9.72,51.98,-3.79,75.15
1979-01-01 10:10:00,9.77,49.18,-3.8,73.59
1979-01-01 10:20:00,9.73,48.94,-3.81,71.4
