Date Created [UTC]	: 2024-05-31 07:26:55
Author				: DHI
Source				: https://www.metocean-on-demand.com/
Point Name			: Generic Site A
Longitude [deg.E]	: 4.918762
Latitude [deg.N]	: 54.983196
Projection			: EPSG:4326
Dataset ID			: DWF23-HD-WRF
Water Depth [mMSL]	: 40.700000
Cell Size [m]		: 3554.800000
Start Date [UTC]	: 1979-01-01 01:00:00
End Date [UTC]		: 2023-09-30 23:30:00
Time Step [s]		: 1800.0
Fill Value			: -9999

datetime (ISO 8601) [UTC],Water Level (WL) [mMSL],Current Speed (CS) [m/s],Current Direction (CD) [\Deg.N-to],Water Level - Tide (WL_{Tide}) [mMSL],Current Speed - Tide (CS_{Tide}) [m/s],Current Direction - Tide (CD_{Tide}) [\Deg.N-to],Water Level - Residual (WL_{Residual}) [m],Current Speed - Residual (CS_{Residual}) [m/s],Current Direction - Residual (CD_{Residual}) [\Deg.N-to],Current Speed - Total at 5% of Water Column (CS_{5%}) [m/s],Current Speed - Tide at 5% of Water Column (CS_{Tide-5%}) [m/s],Current Speed - Residual at 5% of Water Column (CS_{Residual-5%}) [m/s],Current Speed - Total at 25% of Water Column (CS_{25%}) [m/s],Current Speed - Tide at 25% of Water Column (CS_{Tide-25%}) [m/s],Current Speed - Residual at 25% of Water Column (CS_{Residual-25%}) [m/s],Current Speed - Total at 50% of Water Column (CS_{50%}) [m/s],Current Speed - Tide at 50% of Water Column (CS_{Tide-50%}) [m/s],Current Speed - Residual at 50% of Water Column (CS_{Residual-50%}) [m/s],Current Speed - Total at 75% of Water Column (CS_{75%}) [m/s],Current Speed - Tide at 75% of Water Column (CS_{Tide-75%}) [m/s],Current Speed - Residual at 75% of Water Column (CS_{Residual-75%}) [m/s],Current Speed - Total at 100% of Water Column (CS_{100%}) [m/s],Current Speed - Tide at 100% of Water Column (CS_{Tide-100%}) [m/s],Current Speed - Residual at 100% of Water Column (CS_{Residual-100%}) [m/s]

1979-01-01 01:00:00,-0.03,0.05,236.66,0.01,0.12,283.38,-0.04,0.09,126.06,0.05,0.09,0.04,0.05,0.11,0.07,0.05,0.13,0.11,0.06,0.13,0.15,0.08,0.14,0.18
1979-01-01 01:30:00,-0.03,0.07,244.91,-0.02,0.19,283.99,-0.01,0.14,122.05,0.08,0.13,0.06,0.08,0.18,0.11,0.07,0.2,0.16,0.07,0.21,0.22,0.1,0.22,0.28
1979-01-01 02:00:00,-0.02,0.09,254.36,-0.05,0.24,284.85,0.03,0.17,120.35,0.1,0.17,0.08,0.1,0.22,0.13,0.08,0.25,0.2,0.07,0.27,0.27,0.1,0.28,0.33
1979-01-01 02:30:00,-0.02,0.11,263.17,-0.09,0.28,285.03,0.07,0.18,118.29,0.12,0.2,0.08,0.13,0.26,0.14,0.1,0.29,0.21,0.07,0.31,0.28,0.08,0.32,0.35
1979-01-01 03:00:00,-0,0.13,272.73,-0.12,0.29,284.02,0.11,0.16,112.95,0.13,0.2,0.07,0.15,0.27,0.12,0.12,0.3,0.19,0.08,0.32,0.26,0.05,0.34,0.32
1979-01-01 03:30:00,-0,0.14,280.24,-0.13,0.28,281.5,0.13,0.14,102.71,0.14,0.2,0.06,0.15,0.26,0.11,0.13,0.3,0.17,0.09,0.32,0.22,0.05,0.33,0.28
1979-01-01 04:00:00,-0.03,0.13,285.55,-0.13,0.26,277.49,0.1,0.14,89.82,0.13,0.19,0.06,0.14,0.24,0.1,0.12,0.27,0.16,0.09,0.29,0.21,0.06,0.31,0.27
1979-01-01 04:30:00,-0.06,0.11,287.35,-0.11,0.23,272.65,0.04,0.13,80.2,0.11,0.16,0.06,0.12,0.22,0.1,0.1,0.24,0.15,0.08,0.26,0.2,0.06,0.27,0.25
1979-01-01 05:00:00,-0.08,0.1,286.77,-0.06,0.19,268.39,-0.02,0.1,70.31,0.09,0.14,0.05,0.11,0.18,0.08,0.09,0.2,0.12,0.08,0.21,0.16,0.07,0.22,0.2
