Date Created [UTC]	: 2024-05-31 07:27:21
Author				: DHI
Source				: https://www.metocean-on-demand.com/
Point Name			: Generic Site A
Longitude [deg.E]	: 4.918762
Latitude [deg.N]	: 54.983196
Projection			: EPSG:4326
Dataset ID			: DWF23-SW-WRF
Water Depth [mMSL]	: 40.800000
Cell Size [m]		: 5879.800000
Start Date [UTC]	: 1979-01-01 07:00:00
End Date [UTC]		: 2023-09-30 23:00:00
Time Step [s]		: 3600.0
Fill Value			: -9999

datetime (ISO 8601) [UTC],Sign. Wave Height (H_{m0}) [m],Peak Wave Period (T_{p}) [s],Mean Wave Period (T_{01}) [s],Zero-crossing Wave Period (T_{02}) [s],Peak Wave Direction (PWD) [\Deg.N-from],Mean Wave Direction (MWD) [\Deg.N-from],Directional Standard Deviation (DSD) [\Deg.],Sign. Wave Height - Wind-Sea (H_{m0-Sea}) [m],Peak Wave Period - Wind-Sea (T_{p-Sea}) [s],Mean Wave Period - Wind-Sea (T_{01-Sea}) [s],Zero-crossing Wave Period - Wind-Sea (T_{02-Sea}) [s],Peak Wave Direction - Wind-Sea (PWD_{Sea}) [\Deg.N-from],Mean Wave Direction - Wind-Sea (MWD_{Sea}) [\Deg.N-from],Directional Standard Deviation - Wind-Sea (DSD_{Sea}) [\Deg.],Sign. Wave Height - Swell (H_{m0-Swell}) [m],Peak Wave Period - Swell (T_{p-Swell}) [s],Mean Wave Period - Swell (T_{01-Swell}) [s],Zero-crossing Wave Period - Swell (T_{02-Swell}) [s],Peak Wave Direction - Swell (PWD_{Swell}) [\Deg.N-from],Mean Wave Direction - Swell (MWD_{Swell}) [\Deg.N-from],Directional Standard Deviation - Swell (DSD_{Swell}) [\Deg.]

1979-01-01 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-01 08:00:00,0.54,2.55,2.01,1.84,50,51.88,31.52,0.54,2.55,2.02,1.85,50,51.99,31,0.04,1.52,1.14,1.04,320,300.88,65.27
1979-01-01 09:00:00,0.96,3.72,2.9,2.64,40,51.15,31.18,0.96,3.72,2.91,2.66,40,50.93,30.63,0.07,2.18,1.61,1.47,140,149.26,50.86
1979-01-01 10:00:00,1.18,4.4,3.39,3.09,60,56.11,31.18,1.17,4.4,3.41,3.11,60,56.16,30.68,0.08,2.36,1.87,1.71,320,282,72.31
1979-01-01 11:00:00,1.28,4.72,3.67,3.34,70,57.26,31.02,1.28,4.72,3.68,3.35,70,57.27,30.48,0.09,2.45,2.14,1.93,320,251.73,76.22
1979-01-01 12:00:00,1.3,5.05,3.86,3.5,70,60.35,31.13,1.29,5.05,3.88,3.52,70,59.74,30.25,0.15,6.93,2.96,2.53,140,132.04,42.55
1979-01-01 13:00:00,1.31,5.23,4,3.62,80,63.59,31.22,1.29,5.23,3.97,3.6,70,62.73,30.43,0.24,6.94,5.1,4.12,110,93.88,41.21
1979-01-01 14:00:00,1.24,5.53,4.16,3.75,80,65.89,31,1.1,5.21,3.84,3.49,70,60.91,30.24,0.58,6.25,5.93,5.58,90,83.69,27.86
1979-01-01 15:00:00,1.2,5.68,4.31,3.86,80,68.14,30.2,0.86,4.96,3.46,3.14,70,58.74,32.09,0.84,5.82,5.86,5.69,90,77.52,25.06
